859,812,788,671,694,647,647,812,
842,794,794,677,677,654,630,794,
859,811,788,670,694,647,647,811,
846,798,798,681,681,658,634,798,
846,798,774,681,681,657,634,798,

1950,812,788,694,694,648,648,812,
1965,822,798,681,681,657,634,798,
1960,811,788,694,694,647,647,811,
1971,822,799,681,681,658,635,799,
1951,824,801,683,683,659,636,801,

1521,1829,788,694,694,648,648,812,
1513,1845,798,681,681,658,634,798,
1507,1839,788,694,694,647,647,811,
1507,1849,798,680,704,657,634,798,
1521,1854,801,683,683,660,636,801,

892,1294,1944,694,694,647,647,811,
892,1294,1944,704,704,658,634,821,
892,1294,1944,704,704,657,634,821,
894,1296,1922,706,682,659,635,823,
884,1296,1937,695,695,648,648,813,

882,834,1317,1530,717,671,647,811,
870,846,1320,1520,706,659,659,823,
883,836,1319,1510,719,672,649,812,
870,847,1353,1495,706,659,659,823,
883,836,1343,1509,718,672,648,812,

844,797,821,1199,1399,657,634,797,
858,810,810,1198,1388,647,647,810,
847,799,823,1202,1402,659,636,799,
860,813,813,1202,1392,649,649,813,
846,798,822,1201,1401,658,635,798,

821,774,774,681,1152,1612,634,797,
823,775,775,682,1154,1615,636,799,
837,790,766,673,1155,1630,649,813,
824,776,776,683,1155,1640,636,800,
822,775,775,681,1154,1639,635,798,

844,797,774,680,704,1128,1565,821,
834,787,764,671,694,1128,1579,834,
843,796,773,680,703,1127,1564,843,
844,797,773,680,703,1127,1564,844,
846,798,775,658,682,1106,1567,822,

845,798,774,681,681,657,986,2426,
868,811,788,671,694,647,986,2416,
845,798,798,681,681,657,987,2440,
846,799,775,681,681,658,988,2430,
859,812,788,671,695,671,987,2444,

846,798,775,681,681,634,634,1329,
835,788,788,670,670,647,647,1342,
846,799,775,681,681,658,634,1343,
845,798,774,680,680,657,634,1329,
847,800,776,682,682,635,635,1355,

846,798,775,681,681,657,634,798,
835,788,764,670,670,647,647,788,
846,798,775,681,681,657,634,798,
846,799,775,681,681,658,634,799,
848,800,776,682,682,659,636,800,
